學校類型,學校代碼,學校名稱,縣市別,學生宿舍床位數_床,自有宿舍床位數_床,教職員宿舍單身床位_床,教職員宿舍有眷戶數_戶,可使用校地-校舍基地_平方公尺,可使用校地-露天運動場地_平方公尺,可使用校地-其他校地_平方公尺,無法使用校地_平方公尺,
國立大學,0001,國立政治大學,臺北市,5623 ,5401 ,63 ,100 ,89646 ,70032 ,914857 ,19192 ,
國立大學,0002,國立清華大學,臺北市,0 ,0 ,0 ,0 ,1176 ,0 ,807 ,0 ,
國立大學,0002,國立清華大學,新竹縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,101134 ,
國立大學,0002,國立清華大學,新竹市,8438 ,8438 ,208 ,301 ,139494 ,48113 ,910900 ,0 ,
國立大學,0003,國立臺灣大學,臺北市,8640 ,8640 ,72 ,644 ,471855 ,33529 ,855228 ,0 ,
國立大學,0004,國立臺灣師範大學,新北市,0 ,0 ,18 ,19 ,25578 ,38552 ,264643 ,0 ,
國立大學,0004,國立臺灣師範大學,臺北市,6456 ,6456 ,12 ,14 ,112097 ,55314 ,56271 ,0 ,
國立大學,0005,國立成功大學,臺南市,6260 ,6260 ,110 ,125 ,238668 ,45345 ,1571735 ,0 ,
國立大學,0006,國立中興大學,臺中市,4890 ,4890 ,106 ,131 ,100470 ,30909 ,400146 ,0 ,
國立大學,0006,國立中興大學,南投縣,17 ,17 ,0 ,21 ,17057 ,0 ,96979 ,0 ,
國立大學,0007,國立陽明交通大學,臺北市,2018 ,2018 ,29 ,122 ,43405 ,28740 ,167625 ,262193 ,
國立大學,0007,國立陽明交通大學,桃園市,0 ,0 ,0 ,0 ,0 ,0 ,26824 ,0 ,
國立大學,0007,國立陽明交通大學,臺南市,300 ,300 ,0 ,0 ,13221 ,550 ,163252 ,0 ,
國立大學,0007,國立陽明交通大學,新竹縣,0 ,0 ,0 ,0 ,3504 ,0 ,21497 ,0 ,
國立大學,0007,國立陽明交通大學,新竹市,8278 ,8278 ,159 ,125 ,108772 ,97928 ,563216 ,0 ,
國立大學,0008,國立中央大學,臺北市,0 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,
國立大學,0008,國立中央大學,桃園市,5797 ,5797 ,107 ,229 ,108790 ,22143 ,530935 ,0 ,
國立大學,0008,國立中央大學,宜蘭縣,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,南投縣,0 ,0 ,0 ,0 ,195 ,0 ,735 ,0 ,
國立大學,0008,國立中央大學,嘉義縣,0 ,0 ,0 ,0 ,134 ,0 ,868 ,0 ,
國立大學,0008,國立中央大學,屏東縣,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,臺東縣,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,基隆市,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,嘉義市,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0009,國立中山大學,高雄市,4150 ,4150 ,57 ,91 ,64530 ,70000 ,154939 ,444628 ,
國立大學,0012,國立臺灣海洋大學,基隆市,2885 ,2885 ,20 ,21 ,54482 ,15383 ,175071 ,86422 ,
國立大學,0012,國立臺灣海洋大學,連江縣,94 ,94 ,15 ,0 ,1027 ,192 ,5835 ,0 ,
國立大學,0013,國立中正大學,臺北市,0 ,0 ,0 ,0 ,33 ,0 ,0 ,0 ,
國立大學,0013,國立中正大學,嘉義縣,3735 ,3735 ,116 ,221 ,121975 ,12738 ,1171134 ,0 ,
國立大學,0013,國立中正大學,嘉義市,0 ,0 ,0 ,0 ,618 ,0 ,682 ,0 ,
國立大學,0014,國立高雄師範大學,高雄市,3530 ,3530 ,24 ,9 ,63738 ,33826 ,549106 ,0 ,
國立大學,0015,國立彰化師範大學,臺中市,0 ,0 ,0 ,6 ,288 ,0 ,229 ,0 ,
國立大學,0015,國立彰化師範大學,彰化縣,3300 ,3300 ,70 ,54 ,51460 ,37037 ,427757 ,0 ,
國立大學,0017,國立臺北大學,新北市,1527 ,1527 ,0 ,0 ,45712 ,23158 ,476445 ,0 ,
國立大學,0017,國立臺北大學,臺北市,1050 ,1050 ,0 ,3 ,12898 ,4074 ,28572 ,0 ,
國立大學,0018,國立嘉義大學,嘉義縣,1283 ,1283 ,28 ,0 ,25169 ,22067 ,1323351 ,0 ,
國立大學,0018,國立嘉義大學,嘉義市,2561 ,2561 ,46 ,0 ,87267 ,58007 ,970814 ,448755 ,
國立大學,0019,國立高雄大學,高雄市,1616 ,1616 ,16 ,46 ,67280 ,51356 ,706561 ,0 ,
國立大學,0020,國立東華大學,臺北市,0 ,0 ,0 ,0 ,107 ,0 ,0 ,0 ,
國立大學,0020,國立東華大學,花蓮縣,6232 ,6232 ,39 ,146 ,410308 ,77725 ,1981518 ,0 ,
國立大學,0021,國立暨南國際大學,南投縣,2840 ,2840 ,129 ,69 ,61970 ,53400 ,1369226 ,0 ,
國立大學,0022,國立臺灣科技大學,新北市,0 ,0 ,0 ,0 ,227 ,0 ,56466 ,0 ,
國立大學,0022,國立臺灣科技大學,臺北市,4071 ,3901 ,0 ,70 ,33394 ,14261 ,50273 ,19388 ,
國立大學,0022,國立臺灣科技大學,新竹縣,0 ,0 ,0 ,0 ,919 ,0 ,69487 ,0 ,
國立大學,0022,國立臺灣科技大學,基隆市,0 ,0 ,0 ,0 ,0 ,0 ,99045 ,0 ,
國立大學,0023,國立雲林科技大學,雲林縣,2718 ,2338 ,49 ,81 ,83576 ,58002 ,439663 ,0 ,
國立大學,0024,國立屏東科技大學,臺北市,0 ,0 ,0 ,1 ,51 ,0 ,0 ,0 ,
國立大學,0024,國立屏東科技大學,屏東縣,3287 ,3207 ,12 ,0 ,147435 ,48219 ,2466891 ,2997831 ,
國立大學,0024,國立屏東科技大學,臺東縣,36 ,0 ,0 ,0 ,181 ,0 ,0 ,5760441 ,
國立大學,0025,國立臺北科技大學,新北市,200 ,0 ,0 ,0 ,0 ,0 ,51250 ,1480219 ,
國立大學,0025,國立臺北科技大學,臺北市,1902 ,1581 ,0 ,0 ,31236 ,11744 ,53557 ,0 ,
國立大學,0025,國立臺北科技大學,桃園市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1767 ,
國立大學,0025,國立臺北科技大學,基隆市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,311839 ,
國立大學,0028,國立臺北藝術大學,臺北市,1481 ,1481 ,0 ,0 ,43564 ,15136 ,212191 ,99964 ,
國立大學,0029,國立臺灣藝術大學,新北市,840 ,840 ,0 ,0 ,22262 ,10350 ,48906 ,39095 ,
國立大學,0030,國立臺東大學,臺東縣,2267 ,2267 ,31 ,7 ,68541 ,37100 ,547422 ,60239 ,
國立大學,0031,國立宜蘭大學,宜蘭縣,1524 ,1524 ,63 ,1 ,40877 ,18515 ,513220 ,0 ,
國立大學,0032,國立聯合大學,苗栗縣,2802 ,2802 ,132 ,0 ,46328 ,21766 ,697159 ,0 ,
國立大學,0033,國立虎尾科技大學,雲林縣,2769 ,2769 ,90 ,0 ,57019 ,37290 ,278436 ,0 ,
國立大學,0035,國立臺南藝術大學,臺南市,1316 ,1316 ,43 ,41 ,35337 ,10144 ,279976 ,250000 ,
國立大學,0036,國立臺南大學,臺南市,1528 ,1528 ,0 ,12 ,29577 ,18515 ,69810 ,0 ,
國立大學,0037,國立臺北教育大學,臺北市,1385 ,1385 ,0 ,13 ,22893 ,12666 ,42036 ,411 ,
國立大學,0039,國立臺中教育大學,臺中市,1800 ,1800 ,0 ,4 ,29821 ,16083 ,54518 ,0 ,
國立大學,0042,國立澎湖科技大學,澎湖縣,741 ,741 ,20 ,29 ,21699 ,16552 ,420144 ,0 ,
國立大學,0043,國立勤益科技大學,臺中市,1007 ,1007 ,0 ,0 ,37708 ,30653 ,233344 ,26201 ,
國立大學,0044,國立體育大學,桃園市,1216 ,1216 ,38 ,12 ,72979 ,92107 ,465428 ,11922 ,
國立大學,0046,國立臺北護理健康大學,臺北市,1769 ,1769 ,3 ,27 ,24095 ,15399 ,43334 ,0 ,
國立大學,0047,國立高雄餐旅大學,高雄市,1358 ,1358 ,0 ,0 ,18825 ,8578 ,122641 ,0 ,
國立大學,0048,國立金門大學,金門縣,1167 ,1088 ,88 ,2 ,21870 ,7500 ,172799 ,0 ,
國立大學,0049,國立臺灣體育運動大學,臺中市,747 ,747 ,5 ,2 ,31104 ,86711 ,24925 ,0 ,
國立大學,0050,國立臺中科技大學,臺中市,1416 ,1416 ,5 ,2 ,22552 ,11928 ,112393 ,0 ,
國立大學,0051,國立臺北商業大學,新北市,466 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
國立大學,0051,國立臺北商業大學,臺北市,0 ,0 ,0 ,0 ,7839 ,1488 ,10628 ,0 ,
國立大學,0051,國立臺北商業大學,桃園市,592 ,580 ,0 ,0 ,7053 ,7874 ,58374 ,3924 ,
國立大學,0052,國立屏東大學,屏東縣,4448 ,4448 ,21 ,1 ,57224 ,56568 ,310121 ,89423 ,
國立大學,0053,國立高雄科技大學,高雄市,5511 ,5511 ,80 ,39 ,164560 ,96433 ,979048 ,920575 ,
國立學院,0144,國立臺灣戲曲學院,臺北市,1101 ,315 ,0 ,0 ,15556 ,2271 ,31951 ,2152 ,
國立專科,0221,國立臺南護理專科學校,臺南市,540 ,540 ,0 ,1 ,7252 ,726 ,22022 ,0 ,
